llm,ml,alpha,MAE,Spearman,Kappa,AAcc
deepseek-r1_70b,KNN,0.95,0.6037735849056604,0.5901346253838546,0.590268303774443,0.9811320754716981
deepseek-r1_70b,KNN,1.0,0.6226415094339622,0.5531769981394575,0.5668212944554893,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.0,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.05,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.1,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.15,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.2,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.25,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.3,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.35,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.4,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.45,0.39622641509433965,0.6395542087978755,0.6305189775367932,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.5,0.37735849056603776,0.660326328663588,0.6463039014373717,0.9433962264150944
deepseek-r1_70b,KNN-clf,0.55,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.6,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.65,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.7,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
deepseek-r1_70b,KNN-clf,0.75,0.6037735849056604,0.5668666365087462,0.5763765541740675,0.9622641509433962
